internship_id,date_time,profile,company,location,start_date,stipend,duration,apply_by_date,offer,education,skills,perks,stipend_min,stipend_max,stipend_type,stipend_period,duration_months,apply_by_dt,posted_dt,start_immediate,start_dt,is_remote,city,is_multi_city,skills_tokens,text_blob
INT1018,2025-01-19,Full Stack Development,MobileFirst,Bangalore,Immediately,Rs. 15000 /month,2 Months,2025-08-01,"Certificate of Completion, Letter of Recommendation","B.Tech/B.E., MCA","Full Stack, Python, JavaScript, SQL",Flexible working hours,15000.0,15000.0,fixed,month,2.0,2025-08-01,2025-01-19,True,,False,Bangalore,False,"['full stack', 'python', 'javascript', 'sql']","full stack development full stack, python, javascript, sql flexible working hours b.tech/b.e., mca certificate of completion, letter of recommendation mobilefirst"
INT1019,2025-02-20,Data Analytics,DevStudio,Hyderabad,1 June 2025,Unpaid,3 Months,2025-11-30,Pre-Placement Offer (PPO),Any,"SQL, Excel, Tableau, Power BI",Health Insurance,0.0,0.0,unpaid,unknown,3.0,2025-11-30,2025-02-20,False,2025-06-01,False,Hyderabad,False,"['sql', 'excel', 'tableau', 'power bi']","data analytics sql, excel, tableau, power bi health insurance any pre-placement offer (ppo) devstudio"
INT1020,2025-03-21,Data Science,TechCorp India,Chennai,1 June 2025,Rs. 3000 /month,2 Months,2025-06-15,Certificate of Completion,B.Tech/B.E.,"Python, Machine Learning, Data Analysis",,3000.0,3000.0,fixed,month,2.0,2025-06-15,2025-03-21,False,2025-06-01,False,Chennai,False,"['python', 'machine learning', 'data analysis']","data science python, machine learning, data analysis b.tech/b.e. certificate of completion techcorp india"
INT1021,2025-04-22,Web Development,StartupXYZ,Pune,Immediately,Rs. 20000 /month,3 Months,2025-07-01,Letter of Recommendation,BCA,"React, JavaScript, HTML, CSS","Flexible working hours, Work from home",20000.0,20000.0,fixed,month,3.0,2025-07-01,2025-04-22,True,,False,Pune,False,"['react', 'javascript', 'html', 'css']","web development react, javascript, html, css flexible working hours, work from home bca letter of recommendation startupxyz"
INT1022,2025-05-23,Machine Learning,InnovateTech,Kolkata,Immediately,Rs. 12000 /month,4 Months,2025-08-20,,MCA,"Python, TensorFlow, Deep Learning","5 days a week, Free snacks",12000.0,12000.0,fixed,month,4.0,2025-08-20,2025-05-23,True,,False,Kolkata,False,"['python', 'tensorflow', 'deep learning']","machine learning python, tensorflow, deep learning 5 days a week, free snacks mca innovatetech"
INT1023,2025-06-24,Business Development,DataDriven Co,Ahmedabad,Immediately,Performance based,6 Months,2025-09-30,"Certificate, PPO",MBA,"Business Development, Sales, CRM","Informal dress code, Free snacks",,,performance_based,unknown,6.0,2025-09-30,2025-06-24,True,,False,Ahmedabad,False,"['business development', 'sales', 'crm']","business development business development, sales, crm informal dress code, free snacks mba certificate, ppo datadriven co"
INT1024,2025-07-25,Marketing,DesignHub,Jaipur,Immediately,Rs. 7000-10000 /month,1 Month,2025-05-31,"Certificate of Completion, Letter of Recommendation",B.Com,"Digital Marketing, SEO, Google Analytics","Certificate, LOR",7000.0,10000.0,range,month,1.0,2025-05-31,2025-07-25,True,,False,Jaipur,False,"['digital marketing', 'seo', 'google analytics']","marketing digital marketing, seo, google analytics certificate, lor b.com certificate of completion, letter of recommendation designhub"
INT1025,2025-08-26,Content Writing,FinanceFirst,Noida,1 June 2025,Rs. 2000 /month,5 Months,2025-10-15,Pre-Placement Offer (PPO),Any Graduate,"Content Writing, Blogging, SEO",Flexible working hours,2000.0,2000.0,fixed,month,5.0,2025-10-15,2025-08-26,False,2025-06-01,False,Noida,False,"['content writing', 'blogging', 'seo']","content writing content writing, blogging, seo flexible working hours any graduate pre-placement offer (ppo) financefirst"
INT1026,2025-09-27,Graphic Design,MarketMasters,Gurgaon,1 August 2025,Rs. 25000 /month,8 Weeks,2025-06-30,Certificate of Completion,B.Sc,"Photoshop, Illustrator, Figma",Health Insurance,25000.0,25000.0,fixed,month,1.8411967779056388,2025-06-30,2025-09-27,False,2025-08-01,False,Gurgaon,False,"['photoshop', 'illustrator', 'figma']","graphic design photoshop, illustrator, figma health insurance b.sc certificate of completion marketmasters"
INT1027,2025-01-28,Finance,CodeCraft,Chandigarh,1 August 2025,Rs. 5000-8000 /month,12 Weeks,2025-07-15,Letter of Recommendation,M.Tech,"Finance, Excel, Tally",,5000.0,8000.0,range,month,2.761795166858458,2025-07-15,2025-01-28,False,2025-08-01,False,Chandigarh,False,"['finance', 'excel', 'tally']","finance finance, excel, tally m.tech letter of recommendation codecraft"
INT1028,2025-02-01,Human Resources,CreativeMinds,Indore,1 August 2025,,2 Months,2025-08-01,,"B.Tech/B.E., MCA","HR, Recruitment, Excel","Flexible working hours, Work from home",,,unknown,unknown,2.0,2025-08-01,2025-02-01,False,2025-08-01,False,Indore,False,"['hr', 'recruitment', 'excel']","human resources hr, recruitment, excel flexible working hours, work from home b.tech/b.e., mca creativeminds"
INT1029,2025-03-02,Operations,GrowthLab,Work From Home,Immediately,Rs. 18000 /month,3 Months,2025-11-30,"Certificate, PPO",Any,"Operations, MS Office, Excel","5 days a week, Free snacks",18000.0,18000.0,fixed,month,3.0,2025-11-30,2025-03-02,True,,True,Remote,False,"['operations', 'ms office', 'excel']","operations operations, ms office, excel 5 days a week, free snacks any certificate, ppo growthlab"
INT1030,2025-04-03,Python Development,AIVentures,Work From Home,1 July 2025,Rs. 5000 /month,2 Months,2025-06-15,"Certificate of Completion, Letter of Recommendation",B.Tech/B.E.,"Python, Django, REST API","Informal dress code, Free snacks",5000.0,5000.0,fixed,month,2.0,2025-06-15,2025-04-03,False,2025-07-01,True,Remote,False,"['python', 'django', 'rest api']","python development python, django, rest api informal dress code, free snacks b.tech/b.e. certificate of completion, letter of recommendation aiventures"
INT1031,2025-05-04,Android Development,WebWizards,Work From Home,1 June 2025,Rs. 10000 /month,3 Months,2025-07-01,Pre-Placement Offer (PPO),BCA,"Android, Kotlin, Java","Certificate, LOR",10000.0,10000.0,fixed,month,3.0,2025-07-01,2025-05-04,False,2025-06-01,True,Remote,False,"['android', 'kotlin', 'java']","android development android, kotlin, java certificate, lor bca pre-placement offer (ppo) webwizards"
INT1032,2025-06-05,iOS Development,AppFactory,Mumbai,1 July 2025,Rs. 8000 /month,4 Months,2025-08-20,Certificate of Completion,MCA,"iOS, Swift, Xcode",Flexible working hours,8000.0,8000.0,fixed,month,4.0,2025-08-20,2025-06-05,False,2025-07-01,False,Mumbai,False,"['ios', 'swift', 'xcode']","ios development ios, swift, xcode flexible working hours mca certificate of completion appfactory"
INT1033,2025-07-06,UI/UX Design,CloudNine,Delhi,Immediately,Rs. 15000 /month,6 Months,2025-09-30,Letter of Recommendation,MBA,"Figma, Adobe XD, Sketch",Health Insurance,15000.0,15000.0,fixed,month,6.0,2025-09-30,2025-07-06,True,,False,Delhi,False,"['figma', 'adobe xd', 'sketch']","ui/ux design figma, adobe xd, sketch health insurance mba letter of recommendation cloudnine"
INT1034,2025-08-07,Digital Marketing,BizBoost,Bangalore,15 June 2025,Unpaid,1 Month,2025-05-31,,B.Com,"Facebook Ads, Google Ads, SEO",,0.0,0.0,unpaid,unknown,1.0,2025-05-31,2025-08-07,False,2025-06-15,False,Bangalore,False,"['facebook ads', 'google ads', 'seo']","digital marketing facebook ads, google ads, seo b.com bizboost"
INT1035,2025-09-08,Social Media Marketing,ContentKing,Hyderabad,Immediately,Rs. 3000 /month,5 Months,2025-10-15,"Certificate, PPO",Any Graduate,"Instagram, Facebook, Content Creation","Flexible working hours, Work from home",3000.0,3000.0,fixed,month,5.0,2025-10-15,2025-09-08,True,,False,Hyderabad,False,"['instagram', 'facebook', 'content creation']","social media marketing instagram, facebook, content creation flexible working hours, work from home any graduate certificate, ppo contentking"
INT1036,2025-01-09,Video Editing,PixelPerfect,Chennai,1 June 2025,Rs. 20000 /month,8 Weeks,2025-06-30,"Certificate of Completion, Letter of Recommendation",B.Sc,"Premiere Pro, After Effects, Davinci Resolve","5 days a week, Free snacks",20000.0,20000.0,fixed,month,1.8411967779056388,2025-06-30,2025-01-09,False,2025-06-01,False,Chennai,False,"['premiere pro', 'after effects', 'davinci resolve']","video editing premiere pro, after effects, davinci resolve 5 days a week, free snacks b.sc certificate of completion, letter of recommendation pixelperfect"
INT1037,2025-02-10,React Development,AnalyticsEdge,Pune,1 August 2025,Rs. 12000 /month,12 Weeks,2025-07-15,Pre-Placement Offer (PPO),M.Tech,"React, Node.js, MongoDB","Informal dress code, Free snacks",12000.0,12000.0,fixed,month,2.761795166858458,2025-07-15,2025-02-10,False,2025-08-01,False,Pune,False,"['react', 'node.js', 'mongodb']","react development react, node.js, mongodb informal dress code, free snacks m.tech pre-placement offer (ppo) analyticsedge"
INT1038,2025-03-11,Full Stack Development,MobileFirst,Kolkata,1 July 2025,Performance based,2 Months,2025-08-01,Certificate of Completion,"B.Tech/B.E., MCA","Full Stack, Python, JavaScript, SQL","Certificate, LOR",,,performance_based,unknown,2.0,2025-08-01,2025-03-11,False,2025-07-01,False,Kolkata,False,"['full stack', 'python', 'javascript', 'sql']","full stack development full stack, python, javascript, sql certificate, lor b.tech/b.e., mca certificate of completion mobilefirst"
INT1039,2025-04-12,Data Analytics,DevStudio,Ahmedabad,15 June 2025,Rs. 7000-10000 /month,3 Months,2025-11-30,Letter of Recommendation,Any,"SQL, Excel, Tableau, Power BI",Flexible working hours,7000.0,10000.0,range,month,3.0,2025-11-30,2025-04-12,False,2025-06-15,False,Ahmedabad,False,"['sql', 'excel', 'tableau', 'power bi']","data analytics sql, excel, tableau, power bi flexible working hours any letter of recommendation devstudio"
INT1040,2025-05-13,Data Science,TechCorp India,Jaipur,15 June 2025,Rs. 2000 /month,2 Months,2025-06-15,,B.Tech/B.E.,"Python, Machine Learning, Data Analysis",Health Insurance,2000.0,2000.0,fixed,month,2.0,2025-06-15,2025-05-13,False,2025-06-15,False,Jaipur,False,"['python', 'machine learning', 'data analysis']","data science python, machine learning, data analysis health insurance b.tech/b.e. techcorp india"
INT1041,2025-06-14,Web Development,StartupXYZ,Noida,1 June 2025,Rs. 25000 /month,3 Months,2025-07-01,"Certificate, PPO",BCA,"React, JavaScript, HTML, CSS",,25000.0,25000.0,fixed,month,3.0,2025-07-01,2025-06-14,False,2025-06-01,False,Noida,False,"['react', 'javascript', 'html', 'css']","web development react, javascript, html, css bca certificate, ppo startupxyz"
INT1042,2025-07-15,Machine Learning,InnovateTech,Gurgaon,1 June 2025,Rs. 5000-8000 /month,4 Months,2025-08-20,"Certificate of Completion, Letter of Recommendation",MCA,"Python, TensorFlow, Deep Learning","Flexible working hours, Work from home",5000.0,8000.0,range,month,4.0,2025-08-20,2025-07-15,False,2025-06-01,False,Gurgaon,False,"['python', 'tensorflow', 'deep learning']","machine learning python, tensorflow, deep learning flexible working hours, work from home mca certificate of completion, letter of recommendation innovatetech"
INT1043,2025-08-16,Business Development,DataDriven Co,Chandigarh,15 June 2025,,6 Months,2025-09-30,Pre-Placement Offer (PPO),MBA,"Business Development, Sales, CRM","5 days a week, Free snacks",,,unknown,unknown,6.0,2025-09-30,2025-08-16,False,2025-06-15,False,Chandigarh,False,"['business development', 'sales', 'crm']","business development business development, sales, crm 5 days a week, free snacks mba pre-placement offer (ppo) datadriven co"
INT1044,2025-09-17,Marketing,DesignHub,Indore,Immediately,Rs. 18000 /month,1 Month,2025-05-31,Certificate of Completion,B.Com,"Digital Marketing, SEO, Google Analytics","Informal dress code, Free snacks",18000.0,18000.0,fixed,month,1.0,2025-05-31,2025-09-17,True,,False,Indore,False,"['digital marketing', 'seo', 'google analytics']","marketing digital marketing, seo, google analytics informal dress code, free snacks b.com certificate of completion designhub"
INT1045,2025-01-18,Content Writing,FinanceFirst,Work From Home,Immediately,Rs. 5000 /month,5 Months,2025-10-15,Letter of Recommendation,Any Graduate,"Content Writing, Blogging, SEO","Certificate, LOR",5000.0,5000.0,fixed,month,5.0,2025-10-15,2025-01-18,True,,True,Remote,False,"['content writing', 'blogging', 'seo']","content writing content writing, blogging, seo certificate, lor any graduate letter of recommendation financefirst"
INT1046,2025-02-19,Graphic Design,MarketMasters,Work From Home,1 July 2025,Rs. 10000 /month,8 Weeks,2025-06-30,,B.Sc,"Photoshop, Illustrator, Figma",Flexible working hours,10000.0,10000.0,fixed,month,1.8411967779056388,2025-06-30,2025-02-19,False,2025-07-01,True,Remote,False,"['photoshop', 'illustrator', 'figma']","graphic design photoshop, illustrator, figma flexible working hours b.sc marketmasters"
INT1047,2025-03-20,Finance,CodeCraft,Work From Home,Immediately,Rs. 8000 /month,12 Weeks,2025-07-15,"Certificate, PPO",M.Tech,"Finance, Excel, Tally",Health Insurance,8000.0,8000.0,fixed,month,2.761795166858458,2025-07-15,2025-03-20,True,,True,Remote,False,"['finance', 'excel', 'tally']","finance finance, excel, tally health insurance m.tech certificate, ppo codecraft"
INT1048,2025-04-21,Human Resources,CreativeMinds,Mumbai,15 June 2025,Rs. 15000 /month,2 Months,2025-08-01,"Certificate of Completion, Letter of Recommendation","B.Tech/B.E., MCA","HR, Recruitment, Excel",,15000.0,15000.0,fixed,month,2.0,2025-08-01,2025-04-21,False,2025-06-15,False,Mumbai,False,"['hr', 'recruitment', 'excel']","human resources hr, recruitment, excel b.tech/b.e., mca certificate of completion, letter of recommendation creativeminds"
INT1049,2025-05-22,Operations,GrowthLab,Delhi,15 June 2025,Unpaid,3 Months,2025-11-30,Pre-Placement Offer (PPO),Any,"Operations, MS Office, Excel","Flexible working hours, Work from home",0.0,0.0,unpaid,unknown,3.0,2025-11-30,2025-05-22,False,2025-06-15,False,Delhi,False,"['operations', 'ms office', 'excel']","operations operations, ms office, excel flexible working hours, work from home any pre-placement offer (ppo) growthlab"
INT1050,2025-06-23,Python Development,AIVentures,Bangalore,Immediately,Rs. 3000 /month,2 Months,2025-06-15,Certificate of Completion,B.Tech/B.E.,"Python, Django, REST API","5 days a week, Free snacks",3000.0,3000.0,fixed,month,2.0,2025-06-15,2025-06-23,True,,False,Bangalore,False,"['python', 'django', 'rest api']","python development python, django, rest api 5 days a week, free snacks b.tech/b.e. certificate of completion aiventures"
INT1051,2025-07-24,Android Development,WebWizards,Hyderabad,15 June 2025,Rs. 20000 /month,3 Months,2025-07-01,Letter of Recommendation,BCA,"Android, Kotlin, Java","Informal dress code, Free snacks",20000.0,20000.0,fixed,month,3.0,2025-07-01,2025-07-24,False,2025-06-15,False,Hyderabad,False,"['android', 'kotlin', 'java']","android development android, kotlin, java informal dress code, free snacks bca letter of recommendation webwizards"
INT1052,2025-08-25,iOS Development,AppFactory,Chennai,Immediately,Rs. 12000 /month,4 Months,2025-08-20,,MCA,"iOS, Swift, Xcode","Certificate, LOR",12000.0,12000.0,fixed,month,4.0,2025-08-20,2025-08-25,True,,False,Chennai,False,"['ios', 'swift', 'xcode']","ios development ios, swift, xcode certificate, lor mca appfactory"
INT1053,2025-09-26,UI/UX Design,CloudNine,Pune,1 August 2025,Performance based,6 Months,2025-09-30,"Certificate, PPO",MBA,"Figma, Adobe XD, Sketch",Flexible working hours,,,performance_based,unknown,6.0,2025-09-30,2025-09-26,False,2025-08-01,False,Pune,False,"['figma', 'adobe xd', 'sketch']","ui/ux design figma, adobe xd, sketch flexible working hours mba certificate, ppo cloudnine"
INT1054,2025-01-27,Digital Marketing,BizBoost,Kolkata,1 July 2025,Rs. 7000-10000 /month,1 Month,2025-05-31,"Certificate of Completion, Letter of Recommendation",B.Com,"Facebook Ads, Google Ads, SEO",Health Insurance,7000.0,10000.0,range,month,1.0,2025-05-31,2025-01-27,False,2025-07-01,False,Kolkata,False,"['facebook ads', 'google ads', 'seo']","digital marketing facebook ads, google ads, seo health insurance b.com certificate of completion, letter of recommendation bizboost"
INT1055,2025-02-28,Social Media Marketing,ContentKing,Ahmedabad,Immediately,Rs. 2000 /month,5 Months,2025-10-15,Pre-Placement Offer (PPO),Any Graduate,"Instagram, Facebook, Content Creation",,2000.0,2000.0,fixed,month,5.0,2025-10-15,2025-02-28,True,,False,Ahmedabad,False,"['instagram', 'facebook', 'content creation']","social media marketing instagram, facebook, content creation any graduate pre-placement offer (ppo) contentking"
INT1056,2025-03-01,Video Editing,PixelPerfect,Jaipur,Immediately,Rs. 25000 /month,8 Weeks,2025-06-30,Certificate of Completion,B.Sc,"Premiere Pro, After Effects, Davinci Resolve","Flexible working hours, Work from home",25000.0,25000.0,fixed,month,1.8411967779056388,2025-06-30,2025-03-01,True,,False,Jaipur,False,"['premiere pro', 'after effects', 'davinci resolve']","video editing premiere pro, after effects, davinci resolve flexible working hours, work from home b.sc certificate of completion pixelperfect"
INT1057,2025-04-02,React Development,AnalyticsEdge,Noida,1 July 2025,Rs. 5000-8000 /month,12 Weeks,2025-07-15,Letter of Recommendation,M.Tech,"React, Node.js, MongoDB","5 days a week, Free snacks",5000.0,8000.0,range,month,2.761795166858458,2025-07-15,2025-04-02,False,2025-07-01,False,Noida,False,"['react', 'node.js', 'mongodb']","react development react, node.js, mongodb 5 days a week, free snacks m.tech letter of recommendation analyticsedge"
INT1058,2025-05-03,Full Stack Development,MobileFirst,Gurgaon,Immediately,,2 Months,2025-08-01,,"B.Tech/B.E., MCA","Full Stack, Python, JavaScript, SQL","Informal dress code, Free snacks",,,unknown,unknown,2.0,2025-08-01,2025-05-03,True,,False,Gurgaon,False,"['full stack', 'python', 'javascript', 'sql']","full stack development full stack, python, javascript, sql informal dress code, free snacks b.tech/b.e., mca mobilefirst"
INT1059,2025-06-04,Data Analytics,DevStudio,Chandigarh,Immediately,Rs. 18000 /month,3 Months,2025-11-30,"Certificate, PPO",Any,"SQL, Excel, Tableau, Power BI","Certificate, LOR",18000.0,18000.0,fixed,month,3.0,2025-11-30,2025-06-04,True,,False,Chandigarh,False,"['sql', 'excel', 'tableau', 'power bi']","data analytics sql, excel, tableau, power bi certificate, lor any certificate, ppo devstudio"
INT1060,2025-07-05,Data Science,TechCorp India,Indore,15 June 2025,Rs. 5000 /month,2 Months,2025-06-15,"Certificate of Completion, Letter of Recommendation",B.Tech/B.E.,"Python, Machine Learning, Data Analysis",Flexible working hours,5000.0,5000.0,fixed,month,2.0,2025-06-15,2025-07-05,False,2025-06-15,False,Indore,False,"['python', 'machine learning', 'data analysis']","data science python, machine learning, data analysis flexible working hours b.tech/b.e. certificate of completion, letter of recommendation techcorp india"
INT1061,2025-08-06,Web Development,StartupXYZ,Work From Home,1 August 2025,Rs. 10000 /month,3 Months,2025-07-01,Pre-Placement Offer (PPO),BCA,"React, JavaScript, HTML, CSS",Health Insurance,10000.0,10000.0,fixed,month,3.0,2025-07-01,2025-08-06,False,2025-08-01,True,Remote,False,"['react', 'javascript', 'html', 'css']","web development react, javascript, html, css health insurance bca pre-placement offer (ppo) startupxyz"
INT1062,2025-09-07,Machine Learning,InnovateTech,Work From Home,Immediately,Rs. 8000 /month,4 Months,2025-08-20,Certificate of Completion,MCA,"Python, TensorFlow, Deep Learning",,8000.0,8000.0,fixed,month,4.0,2025-08-20,2025-09-07,True,,True,Remote,False,"['python', 'tensorflow', 'deep learning']","machine learning python, tensorflow, deep learning mca certificate of completion innovatetech"
INT1063,2025-01-08,Business Development,DataDriven Co,Work From Home,15 June 2025,Rs. 15000 /month,6 Months,2025-09-30,Letter of Recommendation,MBA,"Business Development, Sales, CRM","Flexible working hours, Work from home",15000.0,15000.0,fixed,month,6.0,2025-09-30,2025-01-08,False,2025-06-15,True,Remote,False,"['business development', 'sales', 'crm']","business development business development, sales, crm flexible working hours, work from home mba letter of recommendation datadriven co"
INT1064,2025-02-09,Marketing,DesignHub,Mumbai,Immediately,Unpaid,1 Month,2025-05-31,,B.Com,"Digital Marketing, SEO, Google Analytics","5 days a week, Free snacks",0.0,0.0,unpaid,unknown,1.0,2025-05-31,2025-02-09,True,,False,Mumbai,False,"['digital marketing', 'seo', 'google analytics']","marketing digital marketing, seo, google analytics 5 days a week, free snacks b.com designhub"
